citekey,title,lead_author,other_authors,year,doi,journal,book
carter.etal2008,Southwest Pacific Modulation of Abrupt Climate Change during the Antarctic Cold Reversal-Younger Dryas,"Carter, L.","Manighetti, B.; Ganssen, G.; Northcote, L.",2008,10.1016/j.palaeo.2007.08.013,"Palaeogeography, Palaeoclimatology, Palaeoecology",
castaneda.etal2004,Temporal Changes in Holocene18O Records from the Northwest and Central North Iceland Shelf,"Castañeda, I.","Smith, L.; Kristjánsdóttir, G.; Andrews, J.",2004,10.1002/jqs.841,Journal of Quaternary Science,
chapman.shackleton1999,"Global Ice-Volume Fluctuations, North Atlantic Ice-Rafting Events, and Deep-Ocean Circulation Changes between 130 and 70 Ka","Chapman, M.","Shackleton, N.",1999,10.1130/0091-7613(1999)027<0795:GIVFNA>2.3.CO;2,Geology,
charles.etal1996,Climate Connections between the Hemisphere Revealed by Deep Sea Sediment Core/Ice Core Correlations,"Charles, C.","Lynch-Stieglitz, J.; Ninnemann, U.; Fairbanks, R.",1996,10.1016/0012-821x(96)00083-0,Earth and Planetary Science Letters,
cline.etal1984,The Last Interglacial Ocean,"Cline, R.","Hays, J.; Prell, W.; Ruddiman, W.; Moore, T.; Kipp, N.; Molfino, B.; Denton, G.; Hughes, T.; Balsam, W.; Brunner, C.; Duplessy, J.-C.; Esmay, A.; Fastook, J.; Imbrie, J.; Keigwin, L.; Kellogg, T.; McIntyre, A.; Matthews, R.; Mix, A.; Morley, J.; Shackleton, N.; Streeter, S.; Thompson, P.",1984,10.1016/0033-5894(84)90098-X,Quaternary Research,
cortijo.etal1999,Changes in Meridional Temperature and Salinity Gradients in the North Atlantic Ocean (30°-72°N) during the Last Interglacial Period,"Cortijo, E.","Lehman, S.; Keigwin, L.; Chapman, M.; Paillard, D.; Labeyrie, L.",1999,10.1029/1998pa900004,Paleoceanography,
cortijo1995,La variabilité climatique rapide dans l'atlantique nord depuis 128 000 ans : relations entre les calottes de glace et l'océan de surface,"Cortijo, E.",,1995,,,
crusius.etal1999,A 36 Kyr Geochemical Record from the Sea of Japan of Organic Matter Flux Variations and Changes in Intermediate Water Oxygen Concentrations,"Crusius, J.","Pedersen, T.; Calvert, S.; Cowie, G.; Oba, T.",1999,10.1029/1998PA900023,Paleoceanography,
curry.crowley1987,The 13C of Equatorial Atlantic Surface Waters: Implications for Ice Age pCO2 Levels,"Curry, W.","Crowley, T.",1987,10.1029/pa002i005p00489,Paleoceanography,
curry.etal1988,Changes in the Distribution of d13C of Deep Water ΣCO_2 between the Last Glaciation and the Holocene,"Curry, W.","Duplessy, J.; Labeyrie, L.; Shackleton, N.",1988,10.1029/PA003i003p00317,Paleoceanography,
curry.etal1999,"Millennial-Scale Changes in Ventilation of the Thermocline, Intermediate, and Deep Waters of the Glacial North Atlantic","Curry, W.","Marchitto, T.; McManus, J.; Oppo, D.; Laarkamp, K.",1999,10.1029/gm112p0059,,Mechanisms of Global Climate Change at Millennial Time Scales
curry.oppo1997,"Synchronous, High-Frequency Oscillations in Tropical Sea Surface Temperatures and North Atlantic Deep Water Production during the Last Glacial Cycle","Curry, W.","Oppo, D.",1997,10.1029/96PA02413,Paleoceanography,
curry.oppo2005,Glacial Water Mass Geometry and the Distribution of d13C of ΣCO_2 in the Western Atlantic Ocean,"Curry, W.","Oppo, D.",2005,10.1029/2004PA001021,Paleoceanography,
deabreu.etal2003,Millennial-Scale Oceanic Climate Variability off the Western Iberian Margin during the Last Two Glacial Periods,"Abreu, L. de ","Shackleton, N.; Schönfeld, J.; Hall, M.; Chapman, M.",2003,10.1016/S0025-3227(03)00046-X,Marine Geology,
delphiproject,Delphi,,,,,University of Cambridge Department of Earth Sciences,
dickson.etal2009,Oceanic Forcing of the Marine Isotope Stage 11 Interglacial,"Dickson, A.","Beer, C.; Dempsey, C.; Maslin, M.; Bendle, J.; McClymont, E.; Pancost, R.",2009,10.1038/ngeo527,Nature Geoscience,
diz.etal2007,Paleoceanography of the Southern Agulhas Plateau during the Last 150 Ka: Inferences from Benthic Foraminiferal Assemblages and Multispecies Epifaunal Carbon Isotopes,"Diz, P.","Hall, I.; Zahn, R.; Molyneux, E.",2007,10.1029/2007pa001511,Paleoceanography,
dokken.jansen1999,Rapid Changes in the Mechanism of Ocean Convection during the Last Glacial Period,"Dokken, T.","Jansen, E.",1999,10.1038/46753,Nature,
dorschel.etal2005,Growth and Erosion of a Cold-Water Coral Covered Carbonate Mound in the Northeast Atlantic during the Late Pleistocene and Holocene,"Dorschel, B.","Hebbeln, D.; Ruggeberg, A.; Dullo, W.; Freiwald, A.",2005,10.1016/j.epsl.2005.01.035,Earth and Planetary Science Letters,
duplessy.etal1988,Norwegian Sea Deep Water Variations over the Last Climatic Cycle: Paleo-Oceanographical Implications,"Duplessy, J.-C.","Labeyrie, L.; Blanc, P.",1988,10.1007/BFb0046591,,Long and Short Term Variability of Climate
duplessy.etal1992,Changes in Surface Salinity of the North Atlantic Ocean during the Last Deglaciation,"Duplessy, J.-C.","Labeyrie, L.; Arnold, M.; Paterne, M.; Duprat, J.; Weering, T. van ",1992,10.1038/358485a0,Nature,
duplessy.etal2005,Paleoceanography of the Barents Sea during the Holocene,"Duplessy, J.-C.","Cortijo, E.; Ivanova, E.; Khusid, T.; Labeyrie, L.; Levitan, M.; Murdmaa, I.; Paterne, M.",2005,10.1029/2004pa001116,Paleoceanography,
duplessy1996,Quaternary Paleoceanography: Unpublished Stable Isotope Records,"Duplessy, J.-C.",,1996,,,
durkoop.etal1997,Late Quaternary Variations of Sea Surface Salinity and Temperature in the Western Tropical Atlantic: Evidence from d18O of Globigerinoides Sacculifer,"Dürkoop, A.","Hale, W.; Mulitza, S.; Pätzold, J.; Wefer, G.",1997,10.1029/97PA02270,Paleoceanography,
fraser.etal2014,"Precipitation Variability within the West Pacific Warm Pool over the Past 120 Ka: Evidence from the Davao Gulf, Southern Philippines","Fraser, N.","Kuhnt, W.; Holbourn, A.; Bolliet, T.; Andersen, N.; Blanz, T.; Beaufort, L.",2014,10.1002/2013pa002599,Paleoceanography,
freudenthal.etal2002,"Upwelling Intensity and Filament Activity off Morocco during the Last 250,000 Years","Freudenthal, T.","Meggers, H.; Henderiks, J.; Kuhlmann, H.; Moreno, A.; Wefer, G.",2002,10.1016/S0967-0645(02)00101-7,Deep Sea Research Part II: Topical Studies in Oceanography,
gebhardt.etal2008,Paleonutrient and Productivity Records from the Subarctic North Pacific for Pleistocene Glacial Terminations I to V,"Gebhardt, H.","Sarnthein, M.; Grootes, P.; Kiefer, T.; Kuehn, H.; Schmieder, F.; Röhl, U.",2008,10.1029/2007pa001513,Paleoceanography,
gorbarenko.southon2000,Detailed Japan Sea Paleoceanography during the Last 25 Kyr: Constraints from AMS Dating and d18O of Planktonic Foraminifera,"Gorbarenko, S.","Southon, J.",2000,10.1016/S0031-0182(99)00137-6,"Palaeogeography, Palaeoclimatology, Palaeoecology",
gottschalk.etal2015,Contribution of Seasonal Sub-Antarctic Surface Water Variability to Millennial-Scale Changes in Atmospheric CO2 over the Last Deglaciation and Marine Isotope Stage 3,"Gottschalk, J.","Skinner, L.; Waelbroeck, C.",2015,10.1016/j.epsl.2014.11.051,Earth and Planetary Science Letters,
govin.etal2012,Persistent Influence of Ice Sheet Melting on High Northern Latitude Climate during the Early Last Interglacial,"Govin, A.","Braconnot, P.; Capron, E.; Cortijo, E.; Duplessy, J.-C.; Jansen, E.; Labeyrie, L.; Landais, A.; Marti, O.; Michel, E.; Mosquet, E.; Risebrobakken, B.; Swingedouw, D.; Waelbroeck, C.",2012,10.5194/cp-8-483-2012,Climate of the Past,
hale.pflaumann1999,Sea-Surface Temperature Estimations Using a Modern Analog Technique with Foraminiferal Assemblages from Western Atlantic Quaternary Sediments,"Hale, W.","Pflaumann, U.",1999,10.1007/978-3-642-58646-0_2,,Use of Proxies in Paleoceanography: Examples from the South Atlantic
