name,canon_depth,evidence
R657,1408,https://doi.org/10.1029/97PA02982
V19_30,3091,https://doi.org/10.1029/GM032p0303
S794,2406,https://doi.org/10.1029/97PA02982
SO136_003GC,958,https://doi.org/10.3289/GEOMAR_REP_89_1999
